era,count,correlation,mae,prediction_mean,prediction_std,target_mean,target_std,rank_correlation
era100,20,-0.2013564479715597,0.291634540563972,0.4903418225620631,0.04503458513182645,0.4447352533028576,0.31017582084581724,-0.18045112781954886
era101,20,0.17569997575645796,0.23014993543280893,0.489102833075167,0.05064444459849378,0.4479703344458117,0.25216190434632757,0.12330827067669171
era102,20,0.10684765403711947,0.25533509223603346,0.4692507117881678,0.04319192318613351,0.6303099189422163,0.2620269803043339,0.05413533834586466
era103,20,-0.13790409036974985,0.2145445810257584,0.48491126110694455,0.049110404355531274,0.3411605531400336,0.20455592263585606,-0.022556390977443608
era104,20,-0.2404865107197917,0.29203634539808776,0.489685841959851,0.06905749085632137,0.5373110154788494,0.3150968730295008,-0.2601503759398496
era105,20,0.08231028540386703,0.24624902914818927,0.47006043877013337,0.07260316327636002,0.38827760622646007,0.28210360483651664,0.09473684210526315
era106,20,-0.021249193821551892,0.27880504587554844,0.49633095938283994,0.051632383346341404,0.5209633917798091,0.3023404013310732,-0.048120300751879695
era107,20,-0.2717112282637198,0.2743599842469245,0.4733537635405788,0.04650275029912198,0.566651135531459,0.2819594358488452,-0.3203007518796992
era108,20,0.1527901270194054,0.25507065785699573,0.513722458472363,0.06685967595336849,0.45479473771474466,0.30166374853609806,0.06165413533834586
era109,20,0.34553302191449037,0.24375050582409846,0.47268567147260754,0.054812600847395136,0.4356525063604993,0.28994386829381347,0.2646616541353383
