iter	RMSE
264	0.2114800845
265	0.2111768741
266	0.210946563
267	0.2106332403
268	0.2104703893
269	0.2103048077
270	0.2099315873
271	0.2096583211
272	0.2095212736
273	0.209251565
274	0.2090633801
275	0.208846914
276	0.2085808639
277	0.2082873368
278	0.2080038849
279	0.2077601682
280	0.2075706591
281	0.2073290686
282	0.2070645869
283	0.206855291
284	0.2065611159
285	0.2063640957
286	0.2060450209
287	0.2057672927
288	0.2054825889
289	0.2052207944
290	0.2051470439
291	0.2050431687
292	0.2047563029
293	0.2043691533
294	0.2040694894
295	0.2037603361
296	0.2035887423
297	0.2033948512
298	0.2031054203
299	0.2029404434
300	0.2025886543
301	0.2023816573
302	0.2022498477
303	0.2020123275
304	0.2018216704
305	0.2017337021
306	0.2015403629
307	0.2014058377
308	0.2012967062
309	0.2011649584
310	0.2010125041
311	0.2007698434
312	0.2003389267
313	0.2001263698
314	0.1999106288
315	0.1997948394
316	0.1993808146
317	0.1991620077
318	0.1989995274
319	0.1987378164
320	0.1984542725
321	0.1982663325
322	0.1980035903
323	0.1977653409
324	0.1975988036
325	0.197334792
326	0.1970560671
327	0.1968387942
328	0.1967341997
329	0.1966329897
330	0.1963274054
331	0.1961092834
332	0.1958281715
333	0.1953849473
334	0.1951783815
335	0.1948615006
336	0.1945326091
337	0.1943035367
338	0.1939880984
339	0.1937271917
340	0.1933841095
341	0.1931485919
342	0.1928755726
343	0.1925553685
344	0.1923636098
345	0.1922146883
346	0.1921247681
347	0.1918504105
348	0.1917747995
349	0.1916571971
350	0.1915061836
351	0.1912742972
352	0.1910376246
353	0.1906847498
354	0.1905314627
355	0.1902516148
356	0.1901258093
357	0.189842052
358	0.1895178392
359	0.1893177777
360	0.1892019607
361	0.1890580989
362	0.1887913027
363	0.188566164
364	0.1883565897
365	0.1882636553
366	0.1881831089
367	0.1879474172
368	0.1877562601
369	0.1875901564
370	0.1873034652
371	0.1871127476
372	0.1868564172
373	0.1866556245
374	0.1863686959
375	0.1861971364
376	0.1858964063
377	0.1856667395
378	0.1854701622
379	0.1853507492
380	0.185162013
381	0.1849588403
382	0.1848358724
383	0.1847304998
384	0.1844902888
385	0.1842811607
386	0.1841824758
387	0.1840396253
388	0.1837857295
389	0.1835418069
390	0.18341319
391	0.1832638267
392	0.1831068054
393	0.1829811551
394	0.1826931
395	0.182487074
396	0.1822562338
397	0.181914729
398	0.1818195796
399	0.1817027687
400	0.1814467398
401	0.1812655315
402	0.181087268
403	0.1808868746
404	0.1805703508
405	0.1803075644
406	0.1800893683
407	0.179925524
408	0.1796882514
409	0.1794607696
410	0.1791426035
411	0.1789464063
412	0.178749063
413	0.1785217148
414	0.1782876024
415	0.1780520175
416	0.1777507099
417	0.1775945626
418	0.1775215617
419	0.177382309
420	0.177194534
421	0.1770443214
422	0.1768097528
423	0.1766585902
424	0.1764837043
425	0.176209159
426	0.1760247294
427	0.1757954505
428	0.1755678188
429	0.1753448326
430	0.1751731227
431	0.1750197671
432	0.174979905
433	0.1746724924
434	0.1745498516
435	0.1743890332
436	0.1742154841
437	0.1739484749
438	0.1737599394
439	0.1735557602
440	0.1733636049
441	0.1732715372
442	0.1730690081
443	0.1728952257
444	0.1727044147
445	0.1726215822
446	0.1723992462
447	0.1722477686
448	0.1720287466
449	0.1717942469
450	0.1715993442
451	0.1713340492
452	0.1711749465
453	0.1709984122
454	0.1708101751
455	0.1706331215
456	0.1704482685
457	0.1702937572
458	0.1702191775
459	0.1700591748
460	0.1698268071
461	0.169735717
462	0.1694288326
463	0.1692550425
464	0.1690774711
465	0.1687414244
466	0.1685145988
467	0.1681984403
468	0.1680111262
469	0.1678277638
470	0.1676635174
471	0.1674068189
472	0.1671942492
473	0.1670118253
474	0.1668474075
475	0.1667036348
476	0.1665775479
477	0.1662816994
478	0.1662055746
479	0.1660618472
480	0.1657696241
481	0.1655557765
482	0.165321897
483	0.1651515315
484	0.1649787309
485	0.164855487
486	0.1647527312
487	0.1645869496
488	0.16445599
489	0.1642761365
490	0.1640660371
491	0.163883473
492	0.1637562614
493	0.1635716715
494	0.1633718124
495	0.1633003921
496	0.1631399459
497	0.1629485926
498	0.1628991201
499	0.1626352514
500	0.1623168469
501	0.1622358344
502	0.1620735638
503	0.1619533966
504	0.161775111
505	0.1616003927
506	0.1614856077
507	0.1613043141
508	0.16118934
509	0.1610047895
510	0.16084526
511	0.1607102086
512	0.1605961201
513	0.1604378768
514	0.1603329082
515	0.1600857434
516	0.1599047545
517	0.1597448678
518	0.1596228771
519	0.159481001
520	0.1593385996
521	0.1592177158
522	0.1590633178
523	0.1588611834
524	0.158681066
525	0.158548294
526	0.1584433892
527	0.1582865887
528	0.1581412986
529	0.1580171368
530	0.1578535791
531	0.1576927067
532	0.1574381511
533	0.1573846004
534	0.157152257
535	0.1569409814
536	0.1566294588
537	0.1564699929
538	0.1563047472
539	0.1561010108
540	0.1558321082
541	0.1557781138
542	0.1555660569
543	0.1553143639
544	0.1551624121
545	0.1549711278
546	0.1547886218
547	0.1546163967
548	0.1543644534
549	0.1542382535
550	0.1540611673
551	0.1538716895
552	0.1536186191
553	0.1534367906
554	0.1532493983
555	0.1531087417
556	0.1529489747
557	0.1528384396
558	0.1527038439
559	0.1523809678
560	0.152270778
561	0.1521377651
562	0.1520269547
563	0.1518211518
564	0.1516721234
565	0.1515558606
566	0.1513608516
567	0.1512113834
568	0.1510702457
569	0.1509196935
570	0.1507232151
571	0.1505060598
572	0.1504075065
573	0.1503139022
574	0.1502191459
575	0.1500260611
576	0.1498380958
577	0.1497438505
578	0.1497106013
579	0.1495747874
580	0.1494116582
581	0.1492727486
582	0.1491574621
583	0.1490558562
584	0.1489204707
585	0.1488246447
586	0.1486568052
587	0.1485198432
588	0.1482834757
589	0.1481131837
590	0.1478716965
591	0.1476670702
592	0.147587167
593	0.147421396
594	0.1472395262
595	0.1471481395
596	0.1469771716
597	0.1469076052
598	0.1467654279
599	0.146654684
600	0.1464917884
601	0.1463665953
602	0.1461567232
603	0.146018478
604	0.1458790389
605	0.1457677799
606	0.1456026348
607	0.1453737544
608	0.1452667524
609	0.1450544757
610	0.1448456097
611	0.1446960413
612	0.1445940684
613	0.1444251389
614	0.1442947173
615	0.1441403333
616	0.1440622463
617	0.1438915527
618	0.1437505677
619	0.143600723
620	0.1434535478
621	0.1432562344
622	0.1431693358
623	0.1430151441
624	0.1427876803
625	0.1426943645
626	0.1426346775
627	0.1425562178
628	0.1424268059
629	0.1423643408
630	0.1422757891
631	0.1421561338
632	0.1420468593
633	0.1419390406
634	0.1418149727
635	0.1417032198
636	0.1415852891
637	0.1414666414
638	0.1413241337
639	0.1411850979
640	0.1410217005
641	0.1408967893
642	0.1408328038
643	0.1406882238
644	0.1404624782
645	0.1402851583
646	0.1402055521
647	0.140028735
648	0.1399610002
649	0.1398158906
650	0.139668633
651	0.139550191
652	0.1393917329
653	0.1392112894
654	0.1390505375
655	0.1390155004
656	0.1388540441
657	0.138664154
658	0.1384874624
659	0.138272307
660	0.1381478604
661	0.1380176926
662	0.1378723832
663	0.1377066115
664	0.1376265877
665	0.1375175866
666	0.1373706651
667	0.1372416211
668	0.1372102615
669	0.1370293431
670	0.1369009574
671	0.1366090392
672	0.1363878592
673	0.1363265299
674	0.1361285206
675	0.1360158357
676	0.1358472722
677	0.1357430505
678	0.1354980827
